state,chamber,democrats,republicans,independents
AK,Senate,null,2,null
AL,House,1,6,null
AL,Senate,null,2,null
AR,House,null,4,null
AR,Senate,null,2,null
AS,House,null,1,null
AZ,House,5,4,null
AZ,Senate,2,null,null
CA,House,42,11,null
CA,Senate,2,null,null
CO,House,4,3,null
CO,Senate,2,null,null
CT,House,5,null,null
CT,Senate,2,null,null
DC,House,1,null,null
DE,House,1,null,null
DE,Senate,2,null,null
FL,House,11,16,null
FL,Senate,null,2,null
GA,House,6,8,null
GA,Senate,2,null,null
GU,House,1,null,null
HI,House,2,null,null
HI,Senate,2,null,null
IA,House,1,3,null
IA,Senate,null,2,null
ID,House,null,2,null
ID,Senate,null,2,null
IL,House,13,5,null
IL,Senate,2,null,null
IN,House,2,6,null
IN,Senate,null,2,null
KS,House,1,3,null
KS,Senate,null,2,null
KY,House,1,5,null
KY,Senate,null,2,null
LA,House,1,5,null
LA,Senate,null,2,null
MA,House,9,null,null
MA,Senate,2,null,null
MD,House,7,1,null
MD,Senate,2,null,null
ME,House,2,null,null
ME,Senate,null,1,1
MI,House,7,7,null
MI,Senate,2,null,null
MN,House,4,4,null
MN,Senate,2,null,null
MO,House,2,6,null
MO,Senate,null,2,null
MP,House,1,null,null
MS,House,1,3,null
MS,Senate,null,2,null
MT,House,null,1,null
MT,Senate,1,1,null
NC,House,5,8,null
NC,Senate,null,2,null
ND,House,null,1,null
ND,Senate,null,2,null
NE,House,null,3,null
NE,Senate,null,2,null
NH,House,2,null,null
NH,Senate,2,null,null
NJ,House,10,2,null
NJ,Senate,2,null,null
NM,House,2,1,null
NM,Senate,2,null,null
NV,House,3,1,null
NV,Senate,2,null,null
NY,House,18,7,null
NY,Senate,2,null,null
OH,House,4,12,null
OH,Senate,1,1,null
OK,House,null,5,null
OK,Senate,null,2,null
OR,House,4,1,null
OR,Senate,2,null,null
PA,House,9,9,null
PA,Senate,1,1,null
PR,House,null,1,null
RI,House,2,null,null
RI,Senate,2,null,null
SC,House,1,6,null
SC,Senate,null,2,null
SD,House,null,1,null
SD,Senate,null,2,null
TN,House,2,7,null
TN,Senate,null,2,null
TX,House,12,24,null
TX,Senate,null,2,null
UT,House,null,4,null
UT,Senate,null,2,null
VA,House,7,4,null
VA,Senate,2,null,null
VI,House,1,null,null
VT,House,1,null,null
VT,Senate,1,null,1
WA,House,7,3,null
WA,Senate,2,null,null
WI,House,3,5,null
WI,Senate,1,1,null
WV,House,null,3,null
WV,Senate,1,1,null
WY,House,null,1,null
WY,Senate,null,2,null
